fullname,city,yearspracticing,proc,pharmadollars,services_count,score,test,last
CHIEN-HEN H. LIN,CUPERTINO,12,Chiropractic manipulation,,484,13,33,LIN
VENUS A. MAHER,COTATI,28,Chiropractic manipulation,,69,13,33,MAHER
VAL SVETICH,FREMONT,,Chiropractic manipulation,,68,13,33,SVETICH
RICHARD G. MATERA,MENLO PARK,,Chiropractic manipulation,,56,13,33,MATERA
WILLIAM H. HOFFMAN,CAMPBELL,33,Chiropractic manipulation,,853,13,33,HOFFMAN
PHYLLIS A. WILLIAMS,SUNNYVALE,37,Chiropractic manipulation,,871,13,33,WILLIAMS
EDWARD C. LECARA,PLEASANTON,15,Chiropractic manipulation,,73,13,33,LECARA
BRIAN C. LANGERMANN,SEBASTOPOL,31,Chiropractic manipulation,,58,13,33,LANGERMANN
JAMES C. GOOD,PLEASANTON,17,Chiropractic manipulation,,97,13,33,GOOD
LYNN M. HAUSRATH,RICHMOND,30,Chiropractic manipulation,,327,13,33,HAUSRATH
SIMON K. LEE,SUNNYVALE,13,Chiropractic manipulation,,392,13,33,LEE
MICHAEL F. MCMURRAY,CAMPBELL,32,Chiropractic manipulation,,1102,13,33,MCMURRAY
RONALD L. BATKIN,DISCOVERY BAY,21,Chiropractic manipulation,,245,13,33,BATKIN
STEPHEN T. SKARDA,WALNUT CREEK,45,Chiropractic manipulation,,260,13,33,SKARDA
MATTHEW L. RIVERA,SAN CARLOS,23,Chiropractic manipulation,,425,13,33,RIVERA
RIKKE JOHANSEN,MENLO PARK,22,Chiropractic manipulation,,94,13,33,JOHANSEN
NICHOLAS J. ATHENS,SAN CARLOS,32,Chiropractic manipulation,,1319,13,33,ATHENS
ALAN DAVIS,OAKLAND,36,Chiropractic manipulation,,448,13,33,DAVIS
MOSES JACOB,NOVATO,37,Chiropractic manipulation,,311,13,33,JACOB
IL HWAN PARK,SAN JOSE,8,Chiropractic manipulation,,666,13,33,PARK
JENNIFER S. LANETT,SAN FRANCISCO,13,Chiropractic manipulation,,83,13,33,LANETT
MARK S. SCHILLINGER,SAN RAFAEL,30,Chiropractic manipulation,,305,13,33,SCHILLINGER
BRIAN A. BARTLETT,SANTA ROSA,21,Chiropractic manipulation,,1417,13,33,BARTLETT
RONALD E. HAMMER,PETALUMA,37,Chiropractic manipulation,,710,13,33,HAMMER
ROBERT W. WALSH,PLEASANTON,,Chiropractic manipulation,,108,13,33,WALSH
DHANISH A. PATEL,MILPITAS,9,Chiropractic manipulation,,214,13,33,PATEL
RONALD AJLUNI,SAN JOSE,28,Chiropractic manipulation,,1119,13,33,AJLUNI
NANCY S. BELLIVEAU,BRENTWOOD,25,Chiropractic manipulation,,237,13,33,BELLIVEAU
BRIAN W. BALBON,SAN FRANCISCO,27,Chiropractic manipulation,,206,13,33,BALBON
DADE W. DONOVAN,SAN MATEO,15,Chiropractic manipulation,,256,13,33,DONOVAN
EVA CHIU,SAN CARLOS,11,Chiropractic manipulation,,287,14,42,CHIU
ROBERT D. ENSLEY,FAIRFIELD,36,Chiropractic manipulation,,83,14,42,ENSLEY
K. D. ANFANG,BERKELEY,28,Chiropractic manipulation,,118,14,42,ANFANG
JOSE A. HERNANDEZ,HAYWARD,22,Chiropractic manipulation,,620,14,42,HERNANDEZ
CHRISTOPHER N. TUCKER,LAFAYETTE,16,Chiropractic manipulation,,100,14,42,TUCKER
MARK E. GRAY,SUNNYVALE,28,Chiropractic manipulation,,509,14,42,GRAY
ALWYN O. SYKES,PETALUMA,49,Chiropractic manipulation,,87,14,42,SYKES
CHRISTOPHER D. MACCHESNEY,SAN LEANDRO,19,Chiropractic manipulation,,397,14,42,MACCHESNEY
RICHARD A. SILVER,SAN JOSE,31,Chiropractic manipulation,,119,14,42,SILVER
KURT M. ALEXANDER,LIVERMORE,28,Chiropractic manipulation,,84,14,42,ALEXANDER
DANA S. RICHARDSON,VACAVILLE,27,Chiropractic manipulation,,1107,14,42,RICHARDSON
TIFFANY T. HO,SAN JOSE,15,Chiropractic manipulation,,233,14,42,HO
CURTIS HAN,ST HELENA,16,Chiropractic manipulation,,220,14,42,HAN
ROBERT N. PRIVRATSKY,SAN FRANCISCO,9,Chiropractic manipulation,,514,14,42,PRIVRATSKY
ERWIN LINZNER,SANTA ROSA,21,Chiropractic manipulation,,80,14,42,LINZNER
TED H. OMURA,SAN JOSE,17,Chiropractic manipulation,,326,14,42,OMURA
THOMAS J. MORA,LIVERMORE,27,Chiropractic manipulation,,123,14,42,MORA
GREGORY J. CUSACK,WALNUT CREEK,,Chiropractic manipulation,,184,14,42,CUSACK
DANIEL A. RHODES,HALF MOON BAY,,Chiropractic manipulation,,175,14,42,RHODES
DOMINIC A. CRESCI,SAN MATEO,39,Chiropractic manipulation,,169,14,42,CRESCI
KEITH S. ROBERTSON,SAN LORENZO,21,Chiropractic manipulation,,94,14,42,ROBERTSON
JESS M. PONTIOUS,DANVILLE,27,Chiropractic manipulation,,448,14,42,PONTIOUS
DANIEL R. SITZMANN,CONCORD,34,Chiropractic manipulation,,95,14,42,SITZMANN
PAUL R. PICCIONE,REDWOOD CITY,16,Chiropractic manipulation,,633,14,42,PICCIONE
SCOTT CALZARETTA,SAN FRANCISCO,29,Chiropractic manipulation,,168,14,42,CALZARETTA
JAMES M. LOUCKS,SAN CARLOS,20,Chiropractic manipulation,,165,14,42,LOUCKS
TIMOTHY J. KELLY,FAIRFIELD,26,Chiropractic manipulation,,84,14,42,KELLY
MARIANN REIMER,LOS ALTOS,30,Chiropractic manipulation,,298,14,42,REIMER
JASON L. LEE,ST HELENA,16,Chiropractic manipulation,,270,14,42,LEE
KYLE J. YODER,REDWOOD CITY,26,Chiropractic manipulation,,290,14,42,YODER
IGOR SKLOVSKIY,SAN FRANCISCO,5,Chiropractic manipulation,,550,14,42,SKLOVSKIY
JOHN E. HORTON,SANTA ROSE,25,Chiropractic manipulation,,405,14,42,HORTON
DENISE E. MAGEE,REDWOOD CITY,28,Chiropractic manipulation,,150,14,42,MAGEE
JOSEPH C. PIGG,CAMPBELL,14,Chiropractic manipulation,,92,14,42,PIGG
JOHN E. ULRICH,SAN CARLOS,24,Chiropractic manipulation,,539,14,42,ULRICH
CHRIS P. MURRAY,CASTRO VALLEY,29,Chiropractic manipulation,,602,14,42,MURRAY
PAMELA A. WOODWARD,LIVERMORE,20,Chiropractic manipulation,,244,14,42,WOODWARD
PAUL J. QUARNERI,SAN MATEO,18,Chiropractic manipulation,,487,14,42,QUARNERI
ARTHUR L. CHARETTE,SONOMA,20,Chiropractic manipulation,,540,14,42,CHARETTE
JUDY A. DAY,SAN LEANDRO,25,Chiropractic manipulation,,110,14,42,DAY
ALAN GOLDHAMER,SANTA ROSA,31,Chiropractic manipulation,,67,14,42,GOLDHAMER
THOMAS Y. KANO,WALNUT CREEK,14,Chiropractic manipulation,,523,14,42,KANO
STEPHEN C. WELLENS,WALNUT CREEK,,Chiropractic manipulation,,46,14,42,WELLENS
SUSAN S. AU-YANG,MILL VALLEY,30,Chiropractic manipulation,,40,14,42,AU-YANG
MARY S. BRENNAN,OAKLAND,29,Chiropractic manipulation,,84,14,42,BRENNAN
JOHN H. QUITORIANO,MOUNTAIN VIEW,31,Chiropractic manipulation,,681,14,42,QUITORIANO
LANCE LESNESKI,SAUSALITO,40,Chiropractic manipulation,,111,14,42,LESNESKI
FRANK J. BISHOFBERGER,NAPA,42,Chiropractic manipulation,,202,14,42,BISHOFBERGER
ANTHONY PIAZZA,REDWOOD CITY,48,Chiropractic manipulation,,346,14,42,PIAZZA
ALAN J. ESQUIBEL,NAPA,32,Chiropractic manipulation,,217,14,42,ESQUIBEL
ROBERT A. DAVISON,BERKELEY,27,Chiropractic manipulation,,39,14,42,DAVISON
RICHARD G. WONG,SANTA ROSA,33,Chiropractic manipulation,,39,14,42,WONG
GARY T. LAU,SAN FRANCISCO,31,Chiropractic manipulation,,50,14,42,LAU
BEJAN A. PAZDEL,SUISUN,24,Chiropractic manipulation,,81,14,42,PAZDEL
THOMAS BLOINK,LOS GATOS,25,Chiropractic manipulation,,276,14,42,BLOINK
ROGER A. PETRIE,VALLEJO,25,Chiropractic manipulation,,212,14,42,PETRIE
JON R. NICHOLS,MILPITAS,18,Chiropractic manipulation,,740,14,42,NICHOLS
GREGORY S. CASTILLO,PITTSBURG,34,Chiropractic manipulation,,86,14,42,CASTILLO
DAVID F. EADE,NAPA,16,Chiropractic manipulation,,322,15,52,EADE
KAREN S. MORGAN-NICODEMUS,NEWARK,17,Chiropractic manipulation,,122,15,52,MORGAN-NICODEMUS
APRIL J. MODESTI,LOS ALTOS,34,Chiropractic manipulation,,356,15,52,MODESTI
JOHN T. HARRINGTON,VALLEJO,28,Chiropractic manipulation,,119,15,52,HARRINGTON
BRUCE H. DEL FANTE,OAKLAND,30,Chiropractic manipulation,,58,15,52,FANTE
MICHAEL H. MORTENSEN,SAN LEANDRO,,Chiropractic manipulation,,59,15,52,MORTENSEN
SHAWN A. SILVA,MORGAN HILL,8,Chiropractic manipulation,,132,15,52,SILVA
JEFFREY J. COYLE,SAN JOSE,24,Chiropractic manipulation,,204,15,52,COYLE
MICHAEL F. FISKE,VACAVILLE,10,Chiropractic manipulation,,136,15,52,FISKE
JENNIFER L. KARNS,SONOMA,13,Chiropractic manipulation,,878,15,52,KARNS
CLAIREMARIE HOLMAN,BERKELEY,28,Chiropractic manipulation,,114,15,52,HOLMAN
ROBERT W. EHLERS,VACAVILLE,13,Chiropractic manipulation,,859,15,52,EHLERS
JUDY L. MCGRAIN,LOS GATOS,30,Chiropractic manipulation,,140,15,52,MCGRAIN
WILLIAM K. HALEY,PLEASANT HILL,30,Chiropractic manipulation,,156,15,52,HALEY
BRIGITTE FAAS,SAN RAFAEL,34,Chiropractic manipulation,,203,15,52,FAAS
DAN JARDIN,BRENTWOOD,17,Chiropractic manipulation,,568,15,52,JARDIN
ANGELA ZARAGOZA,SAN FRANCISCO,23,Chiropractic manipulation,,54,15,52,ZARAGOZA
ANNIE TRAN,SAN FRANCISCO,11,Chiropractic manipulation,,2851,15,52,TRAN
ERIC R. BELUSA,CONCORD,22,Chiropractic manipulation,,189,15,52,BELUSA
BRIAN KALSBEEK,CASTRO VALLEY,,Chiropractic manipulation,,304,15,52,KALSBEEK
SUSAN SALEM,WALNUT CREEK,21,Chiropractic manipulation,,52,15,52,SALEM
JEFFREY L. TORCHIA,REDWOOD CITY,30,Chiropractic manipulation,,470,15,52,TORCHIA
DAO VUONG,SAN JOSE,11,Chiropractic manipulation,,1290,15,52,VUONG
BRAD J. PLUCKHAN,GILROY,18,Chiropractic manipulation,,168,15,52,PLUCKHAN
KENNETH A. THOMAS,PACIFICA,23,Chiropractic manipulation,,210,15,52,THOMAS
MEGAN S. MORDECAI,SANTA ROSA,6,Chiropractic manipulation,,130,15,52,MORDECAI
CALVIN J. GONG,SAN FRANCISCO,23,Chiropractic manipulation,,89,15,52,GONG
JERRY W. DIPPE,SEBASTOPOL,43,Chiropractic manipulation,,119,15,52,DIPPE
KENT HAGAN,HAYWARD,26,Chiropractic manipulation,,198,15,52,HAGAN
NEIL KRAUS,SAN ANSELMO,29,Chiropractic manipulation,,253,15,52,KRAUS
HARRY K. WONG,REDWOOD CITY,33,Chiropractic manipulation,,126,15,52,WONG
JOHN A. QUESADA,ANTIOCH,31,Chiropractic manipulation,,501,15,52,QUESADA
WARREN R. ANDERSON,CONCORD,23,Chiropractic manipulation,,254,15,52,ANDERSON
JOSEPH R. BALL,EL CERRITO,33,Chiropractic manipulation,,498,15,52,BALL
ALEC ISABEAU,SANTA ROSA,29,Chiropractic manipulation,,119,15,52,ISABEAU
ROD S. VANBUSKIRK,PLEASANT HILL,27,Chiropractic manipulation,,250,15,52,VANBUSKIRK
MITCHELL M. GRANDI,WINDSOR,31,Chiropractic manipulation,,387,15,52,GRANDI
LISA H. KIRK,PLEASANTON,16,Chiropractic manipulation,,153,15,52,KIRK
KEVIN W. CHEN,OAKLAND,12,Chiropractic manipulation,,91,15,52,CHEN
YI OU,OAKLAND,13,Chiropractic manipulation,,445,15,52,OU
MICHAEL L. WONG,OAKLAND,32,Chiropractic manipulation,,109,15,52,WONG
CRAIG A. VANOTTEN,FREMONT,,Chiropractic manipulation,,58,15,52,VANOTTEN
ANDREA FRIESE,LOS GATOS,10,Chiropractic manipulation,,222,15,52,FRIESE
EVA DAHL,SAUSALITO,24,Chiropractic manipulation,,144,15,52,DAHL
JULIE ORMAN,OAKLAND,18,Chiropractic manipulation,,159,15,52,ORMAN
RICHARD S. HARVEY,SAN RAMON,38,Chiropractic manipulation,,551,15,52,HARVEY
JULIA C. LEWIS,SAN JOSE,22,Chiropractic manipulation,,110,15,52,LEWIS
SHARON E. WILLIAMS,SAN JOSE,25,Chiropractic manipulation,,223,15,52,WILLIAMS
MARTIN J. BORGE,SAN RAFAEL,30,Chiropractic manipulation,,309,15,52,BORGE
PHILLIP C. REYES,ALAMEDA,26,Chiropractic manipulation,,164,15,52,REYES
J SCOTT THREDE,WALNUT CREEK,21,Chiropractic manipulation,,163,15,52,THREDE
CURTIS J. HAAKE,PLEASANT HILL,15,Chiropractic manipulation,,134,15,52,HAAKE
CATHLEEN CIRA,SAN CARLOS,21,Chiropractic manipulation,,453,15,52,CIRA
DAVID G. NOEL,CAMPBELL,17,Chiropractic manipulation,,239,15,52,NOEL
JESSE J. ALLEN,FREMONT,28,Chiropractic manipulation,,96,15,52,ALLEN
RONALD MIKLEBOST,SAN RAMON,38,Chiropractic manipulation,,452,15,52,MIKLEBOST
PAMELA F. WELLS,SUNNYVALE,29,Chiropractic manipulation,,222,15,52,WELLS
HANS FREERICKS,FREMONT,19,Chiropractic manipulation,,158,15,52,FREERICKS
ROBERT M. SCHICK,PLEASANT HILL,23,Chiropractic manipulation,,153,15,52,SCHICK
KENNETH W. FELCH,LOS ALTOS,12,Chiropractic manipulation,,831,15,52,FELCH
EULETA JOHNSON,ALAMEDA,30,Chiropractic manipulation,,204,15,52,JOHNSON
DAVID M. LATCH,SAN FRANCISCO,16,Chiropractic manipulation,,263,15,52,LATCH
KIMBALL WONG,ALAMEDA,29,Chiropractic manipulation,,156,15,52,WONG
RYAN SPULLER,PLEASANTON,9,Chiropractic manipulation,,300,15,52,SPULLER
KENNETH J. ZYLKER,PLEASANT HILL,27,Chiropractic manipulation,,116,15,52,ZYLKER
JANET L. LANEY,FREMONT,21,Chiropractic manipulation,,289,15,52,LANEY
JOHN GUILFORD,CASTRO VALLEY,28,Chiropractic manipulation,,235,16,64,GUILFORD
ROBIN P. MCCARTHY,NAPA,33,Chiropractic manipulation,,163,16,64,MCCARTHY
VERONICA O. LEVY,SAN RAFAEL,31,Chiropractic manipulation,,381,16,64,LEVY
DENNIS J. BALCH,MILLBRAE,18,Chiropractic manipulation,,161,16,64,BALCH
GUITA KIANIAN,SAN JOSE,22,Chiropractic manipulation,,199,16,64,KIANIAN
DOUGLAS B. ROSS,OAKLAND,29,Chiropractic manipulation,,302,16,64,ROSS
BRUCE PRESNICK,PLEASANT HILL,36,Chiropractic manipulation,,169,16,64,PRESNICK
WILLIAM C. TARR,MENLO PARK,22,Chiropractic manipulation,,945,16,64,TARR
MICHAEL C. PIERCE,SANTA CLARA,24,Chiropractic manipulation,,255,16,64,PIERCE
DONALD M. BUTERA,SOUTH SAN FRANCISCO,39,Chiropractic manipulation,,545,16,64,BUTERA
JALAL ARMAN DARYAIE,SAN JOSE,14,Chiropractic manipulation,,328,16,64,DARYAIE
GEORGE O. KIRK,PLEASANTON,16,Chiropractic manipulation,,197,16,64,KIRK
KATHERINE ANDERSON-HIPP,SAN FRANCISCO,12,Chiropractic manipulation,,2773,16,64,ANDERSON-HIPP
FRANK A. TERRANOVA,SAN RAMON,19,Chiropractic manipulation,,192,16,64,TERRANOVA
SHERRY L. CHOCHOLATY,SAN JOSE,15,Chiropractic manipulation,,187,16,64,CHOCHOLATY
NIELE MAIMONE,DANVILLE,15,Chiropractic manipulation,,290,16,64,MAIMONE
STEVE MILLIGAN,LAFAYETTE,19,Chiropractic manipulation,,919,16,64,MILLIGAN
JAMES H. JUDEVINE,SANTA ROSA,18,Chiropractic manipulation,,138,16,64,JUDEVINE
ALAN J. ARNONE,SANTA CLARA,27,Chiropractic manipulation,,137,16,64,ARNONE
STEVEN JAKOBSEN,LAFAYETTE,25,Chiropractic manipulation,,301,16,64,JAKOBSEN
OSAMA E. NIJMEH,GILROY,24,Chiropractic manipulation,,258,16,64,NIJMEH
SCOTT J. HEUN,NAPA,31,Chiropractic manipulation,,250,16,64,HEUN
PATRICK J. WALSH,ROHNERT PARK,30,Chiropractic manipulation,260,678,16,64,WALSH
NANCY S. HOLLIS,SAUSALITO,32,Chiropractic manipulation,,575,16,64,HOLLIS
DANIEL V. KITAMURA-TINTOR,REDWOOD CITY,30,Chiropractic manipulation,,138,16,64,KITAMURA-TINTOR
MARY A. JOHNSON,SAN RAFAEL,30,Chiropractic manipulation,,429,16,64,JOHNSON
MICHELLE D. ARIETTA,PETALUMA,12,Chiropractic manipulation,,243,16,64,ARIETTA
FLOYD MINANA,SAN MATEO,33,Chiropractic manipulation,,90,16,64,MINANA
STEVEN K. SHERRY,CAMPBELL,19,Chiropractic manipulation,,294,16,64,SHERRY
JEFFREY I. FRIEDMAN,SAN RAFAEL,39,Chiropractic manipulation,,66,16,64,FRIEDMAN
ROBERT P. KESSLER,MORGAN HILL,22,Chiropractic manipulation,,167,16,64,KESSLER
DAVID DESALVO,SAN JOSE,28,Chiropractic manipulation,,254,16,64,DESALVO
SUSAN WIGLEY,SAN JOSE,31,Chiropractic manipulation,,279,16,64,WIGLEY
JASON T. WONG,ORINDA,15,Chiropractic manipulation,,87,16,64,WONG
JEAN-PAUL MARTINET,OAKLAND,35,Chiropractic manipulation,,78,16,64,MARTINET
LARRY C. WILLIAMS,SAN JOSE,30,Chiropractic manipulation,,428,16,64,WILLIAMS
RENEE OWNBEY,SAN JOSE,22,Chiropractic manipulation,,93,16,64,OWNBEY
JOSEPH E. AWENDER,RIO VISTA,54,Chiropractic manipulation,,737,16,64,AWENDER
WILLIAM M. GAZDAR,WALNUT CREEK,25,Chiropractic manipulation,,178,16,64,GAZDAR
R GRIFALL,MORGAN HILL,13,Chiropractic manipulation,,182,16,64,GRIFALL
DAVID M. PALOMARES,DUBLIN,26,Chiropractic manipulation,,202,16,64,PALOMARES
ROXANN M. BETTENCOURT,NAPA,,Chiropractic manipulation,,352,16,64,BETTENCOURT
WILLIAM BUZBUZIAN,NOVATO,28,Chiropractic manipulation,,74,16,64,BUZBUZIAN
WARREN M. SLOAN,CAMPBELL,,Chiropractic manipulation,,97,16,64,SLOAN
PAUL J. DEMETRUS,SAN JOSE,35,Chiropractic manipulation,,311,16,64,DEMETRUS
DENNIS J. MILLER,DUBLIN,38,Chiropractic manipulation,,574,16,64,MILLER
KENNETH J. SAVAGE,CAMPBELL,28,Chiropractic manipulation,,597,16,64,SAVAGE
DON G. DAVIS,WALNUT CREEK,36,Chiropractic manipulation,,243,16,64,DAVIS
KAREN A. MONTALBANO,SAN FRANCISCO,27,Chiropractic manipulation,,186,16,64,MONTALBANO
BARRY R. DANIELI,SONOMA,33,Chiropractic manipulation,,235,16,64,DANIELI
GINA A. DE WET,NAPA,11,Chiropractic manipulation,,298,16,64,WET
ROSA E. VINCE,SAN RAFAEL,27,Chiropractic manipulation,,728,16,64,VINCE
JEFFREY LAYNE,EL CERRITO,35,Chiropractic manipulation,,290,16,64,LAYNE
STEVEN L. KATZ,MILL VALLEY,36,Chiropractic manipulation,,778,16,64,KATZ
KATHERINE M. FEDERLE,MENLO PARK,32,Chiropractic manipulation,,461,16,64,FEDERLE
JULIE L. RESTAD,PETALUMA,9,Chiropractic manipulation,,205,16,64,RESTAD
TIMOTHY J. YATES,NAPA,30,Chiropractic manipulation,,85,16,64,YATES
PATRICIA A. ROUZER,MOUNTAIN VIEW,,Chiropractic manipulation,,100,16,64,ROUZER
MARK A. EASTLAND,SAN JOSE,29,Chiropractic manipulation,,66,16,64,EASTLAND
SHANE D. WHITELEY,SAN LEANDRO,,Chiropractic manipulation,,172,16,64,WHITELEY
LYNNE SPILLINGER,FORESTVILLE,33,Chiropractic manipulation,,185,16,64,SPILLINGER
NICKOLA S. STOJANOVICH,WALNUT CREEK,15,Chiropractic manipulation,,127,16,64,STOJANOVICH
RICHARD SCHECHTER,SEBASTOPOL,36,Chiropractic manipulation,,292,16,64,SCHECHTER
DAVID O. HYLTON,FAIRFIELD,35,Chiropractic manipulation,,244,16,64,HYLTON
KENNETH C. SO,SAN FRANCISCO,38,Chiropractic manipulation,,3028,16,64,SO
KENNETH R. REISENAUER,SAN BRUNO,41,Chiropractic manipulation,,586,16,64,REISENAUER
JONATHAN J. WIDENBAUM,DUBLIN,26,Chiropractic manipulation,,894,16,64,WIDENBAUM
BASHAR AMSO,VALLEJO,14,Chiropractic manipulation,,188,16,64,AMSO
RICKY D. PHILLIPS,SAN JOSE,18,Chiropractic manipulation,,640,16,64,PHILLIPS
RAYMOND T. LEW,SAN FRANCISCO,30,Chiropractic manipulation,,643,16,64,LEW
PATRICK F. PISENTI,SANTA ROSA,8,Chiropractic manipulation,,85,16,64,PISENTI
ERIC G. ISERO,MILLBRAE,18,Chiropractic manipulation,,144,16,64,ISERO
RONALD D. MITCHELL,PACIFICA,28,Chiropractic manipulation,,86,16,64,MITCHELL
TYLER TOLLSTRUP,BELMONT,35,Chiropractic manipulation,,853,16,64,TOLLSTRUP
DAVID A. BARTON,CONCORD,28,Chiropractic manipulation,,136,16,64,BARTON
TINA M. MCGINNIS,SAN JOSE,22,Chiropractic manipulation,,208,16,64,MCGINNIS
LEONARD J. CIANCIOLO,SAN FRANCISCO,41,Chiropractic manipulation,,280,16,64,CIANCIOLO
RONALD R. DESMARAIS,SOUTH SAN FRANCISCO,25,Chiropractic manipulation,,391,16,64,DESMARAIS
DOUGLAS S. HERTING,WALNUT CREEK,21,Chiropractic manipulation,,280,16,64,HERTING
ALEX TAM,VACAVILLE,7,Chiropractic manipulation,,1399,16,64,TAM
GARY E. BOCCI,FAIRFIELD,32,Chiropractic manipulation,,687,16,64,BOCCI
GUY M. BOSTOCK,GILROY,22,Chiropractic manipulation,,70,16,64,BOSTOCK
TRACY R. SIMON,VACAVILLE,14,Chiropractic manipulation,,195,16,64,SIMON
PAULETTE J. COOPER,CORTE MADERA,23,Chiropractic manipulation,,174,16,64,COOPER
WILLIAM H. TOLHURST,LOS GATOS,32,Chiropractic manipulation,,391,17,78,TOLHURST
LAURENCE J. ADAMS,SONOMA,18,Chiropractic manipulation,,1558,17,78,ADAMS
DAVID F. STEWART,SAN BRUNO,46,Chiropractic manipulation,,196,17,78,STEWART
JEFFREY S. CANADA,CASTRO VALLEY,22,Chiropractic manipulation,,347,17,78,CANADA
ROBERT J. ROSTAU,PALO ALTO,,Chiropractic manipulation,,131,17,78,ROSTAU
DAVID E. ABBLETT,CONCORD,32,Chiropractic manipulation,,162,17,78,ABBLETT
TODD M. WRIGHT,SANTA ROSA,24,Chiropractic manipulation,,552,17,78,WRIGHT
MARSHALL B. LEE,SAN RAMON,32,Chiropractic manipulation,,1353,17,78,LEE
VALERIE J. MORRISON,WALNUT CREEK,18,Chiropractic manipulation,,148,17,78,MORRISON
TUANTU A. BUI,SAN JOSE,16,Chiropractic manipulation,,266,17,78,BUI
SALLY A. HARPER,COTATI,28,Chiropractic manipulation,,351,17,78,HARPER
KEITH R. SANDERS,CUPERTINO,34,Chiropractic manipulation,,337,17,78,SANDERS
JAMES H. ADAMS,SONOMA,52,Chiropractic manipulation,,531,17,78,ADAMS
ROBIN ALEXANDER,LAFAYETTE,34,Chiropractic manipulation,,899,17,78,ALEXANDER
JACOB B. QUIHUIS,SANTA ROSA,9,Chiropractic manipulation,,220,17,78,QUIHUIS
BRIAN M. KERNER,SAN FRANCISCO,23,Chiropractic manipulation,,92,17,78,KERNER
DELENE BIVOLCIC,OAKLAND,32,Chiropractic manipulation,,181,17,78,BIVOLCIC
RONALD D. HARMAN,SAN MATEO,,Chiropractic manipulation,,223,17,78,HARMAN
DAVID C. ATKINSON,PLEASANT HILL,35,Chiropractic manipulation,,255,17,78,ATKINSON
ROBERT W. ADAMS,SONOMA,27,Chiropractic manipulation,,1281,17,78,ADAMS
DENNIS L. MILBRATH,SANTA ROSA,40,Chiropractic manipulation,,590,17,78,MILBRATH
MARK R. SWANSON,PETALUMA,31,Chiropractic manipulation,,407,17,78,SWANSON
WILLIAM J. RUCH,OAKLAND,28,Chiropractic manipulation,,323,17,78,RUCH
JULIE A. SOUZA,WALNUT CREEK,27,Chiropractic manipulation,,174,17,78,SOUZA
GABRIEL LUJAN,PLEASANT HILL,22,Chiropractic manipulation,,137,17,78,LUJAN
KENT G. CARLOMAGNO,SAN RAFAEL,31,Chiropractic manipulation,,440,17,78,CARLOMAGNO
DAVID B. JONES,HEALDSBURG,28,Chiropractic manipulation,,719,17,78,JONES
MATTHEW G. BERND,SANTA ROSA,18,Chiropractic manipulation,,330,17,78,BERND
JERRY M. BEHYMER,LAFAYETTE,38,Chiropractic manipulation,,332,17,78,BEHYMER
WENDY R. LANSER,SUNNYVALE,16,Chiropractic manipulation,,1374,17,78,LANSER
VINITA B. AZAROW,MOUNTAIN VIEW,28,Chiropractic manipulation,,752,17,78,AZAROW
LISA DE LA TORRE,LOS GATOS,17,Chiropractic manipulation,,470,17,78,TORRE
JIM A. LARSEN,PETALUMA,,Chiropractic manipulation,,688,17,78,LARSEN
RICHARD G. FOURZON,SANTA ROSA,27,Chiropractic manipulation,,426,17,78,FOURZON
FRANCIS SCORCA,FREMONT,34,Chiropractic manipulation,,98,17,78,SCORCA
JOSEPH P. LEAHY,LOS GATOS,32,Chiropractic manipulation,,155,17,78,LEAHY
THOMAS SANTUCCI,SAN JOSE,18,Chiropractic manipulation,,385,17,78,SANTUCCI
MARK T. HEATH,HALF MOON BAY,29,Chiropractic manipulation,,244,17,78,HEATH
GARY W. ZOFFADA,CASTRO VALLEY,22,Chiropractic manipulation,,113,17,78,ZOFFADA
RONALD D. SCHUSTER,CLOVERDALE,,Chiropractic manipulation,,445,17,78,SCHUSTER
SCOTT A. RUDELL,COTATI,39,Chiropractic manipulation,,152,17,78,RUDELL
SCOTT L. BERGMAN,WALNUT CREEK,22,Chiropractic manipulation,,159,17,78,BERGMAN
THOMAS M. FERRIGNO,CAMPBELL,26,Chiropractic manipulation,,944,17,78,FERRIGNO
DANIEL J. RIXEN,EL SOBRANTE,24,Chiropractic manipulation,,281,17,78,RIXEN
HARRIETT A. KAPLAN,SANTA ROSA,27,Chiropractic manipulation,,144,17,78,KAPLAN
DIANDRA WOOD,PALO ALTO,28,Chiropractic manipulation,,322,17,78,WOOD
JIMMIE MCCALLISTER,LIVERMORE,31,Chiropractic manipulation,,460,17,78,MCCALLISTER
WALLACE T. STEVENS,DIXON,23,Chiropractic manipulation,,135,17,78,STEVENS
NOBLE O. ELCENKO,ANTIOCH,24,Chiropractic manipulation,,138,17,78,ELCENKO
JULIE A. AMUNDSEN,NOVATO,16,Chiropractic manipulation,,216,17,78,AMUNDSEN
GODWIN SAMMUT,PLEASANTON,18,Chiropractic manipulation,,229,17,78,SAMMUT
GREGORY A. CAMERON,BURLINGAME,32,Chiropractic manipulation,,340,17,78,CAMERON
NOEL M. CHIVERS,SAN JOSE,15,Chiropractic manipulation,,210,17,78,CHIVERS
SHERYL L. PLUSH,SONOMA,14,Chiropractic manipulation,,402,17,78,PLUSH
RICHARD A. MORDECAI,SANTA ROSA,34,Chiropractic manipulation,,767,17,78,MORDECAI
PATRICIA M. KISER,PALO ALTO,20,Chiropractic manipulation,,1734,17,78,KISER
